text,num,gender,f_form,fname,m_form
Шестакова,3966,f,,,Шестаков
Суворова,3945,f,,,Суворов
Леонтьева,3942,f,,,Леонтьев
Калашникова,3929,f,,,Калашников
Аксенова,3928,f,,Аксен,Аксенов
Агапов,3921,m,Агапова,Агап,
Прохорова,3917,f,,Прохор,Прохоров
Лаврентьев,3914,m,Лаврентьева,,
Сухарев,3913,m,Сухарева,,
Муратов,3913,m,Муратова,Мурат,
Колесник,3912,u,,,
Рудаков,3910,m,Рудакова,,
Корнев,3908,m,Корнева,,
Яшин,3907,m,Яшина,,
Жданова,3906,f,,Ждан,Жданов
Астахов,3894,m,Астахова,,
Сафонова,3885,f,,Сафон,Сафонов
Аникин,3884,m,Аникина,,
Сурков,3872,m,Суркова,,
Савинов,3863,m,Савинова,Савин,
Усманов,3862,m,Усманова,Усман,
Ананьев,3859,m,Ананьева,,
Панков,3858,m,Панкова,,
Черепанова,3856,f,,,Черепанов
Комиссаров,3855,m,Комиссарова,,
Колесов,3843,m,Колесова,,
Коровин,3842,m,Коровина,,
Фадеева,3835,f,,,Фадеев
Артемов,3829,m,Артемова,Артем,
Воронова,3827,f,,,Воронов
Калмыков,3825,m,Калмыкова,,
Худяков,3819,m,Худякова,,
Галимов,3818,m,Галимова,Галим,
Масленников,3815,m,Масленникова,,
Лосев,3796,m,Лосева,,
Минаев,3787,m,Минаева,,
Мясников,3786,m,Мясникова,Мясник,
Царев,3785,m,Царева,,
Самойлова,3780,f,,,Самойлов
Панкратов,3773,m,Панкратова,Панкрат,
Андрианов,3746,m,Андрианова,Андриан,
Грачева,3743,f,,,Грачев
Вершинин,3742,m,Вершинина,,
Дорошенко,3739,u,,,
Гладких,3738,u,,,
Глушков,3736,m,Глушкова,,
Беликов,3729,m,Беликова,,
Серебряков,3716,m,Серебрякова,,
Манукян,3716,u,,,
Пермяков,3714,m,Пермякова,,
Репин,3708,m,Репина,,
Константинова,3708,f,,Константин,Константинов
Мамаев,3707,m,Мамаева,,
Лукина,3704,f,,,Лукин
Шарапов,3697,m,Шарапова,Шарап,
Полищук,3695,u,,,
Шмелев,3695,m,Шмелева,,
Хохлова,3673,f,,,Хохлов
Голиков,3670,m,Голикова,,
Панфилов,3669,m,Панфилова,Панфил,
Алексеенко,3667,u,,,
Тихомирова,3666,f,,,Тихомиров
Старостин,3662,m,Старостина,,
Красильников,3651,m,Красильникова,,
Булгаков,3647,m,Булгакова,,
Чесноков,3645,m,Чеснокова,,
Зырянов,3645,m,Зырянова,,
Казарян,3643,u,,,
Кулагин,3641,m,Кулагина,,
Остапенко,3639,u,,,
Баев,3639,m,Баева,,
Левина,3638,f,,,Левин
Алешин,3632,m,Алешина,,
Михалев,3629,m,Михалева,,
Дружинин,3625,m,Дружинина,,
Гудков,3625,m,Гудкова,,
Терентьева,3608,f,,,Терентьев
Игнатенко,3605,u,,,
Мартиросян,3602,u,,,
Диденко,3595,u,,,
Шевелев,3594,m,Шевелева,,
Иванченко,3588,u,,,
Хакимов,3586,m,Хакимова,Хаким,
Попков,3577,m,Попкова,,
Корчагин,3575,m,Корчагина,,
Горячев,3572,m,Горячева,,
Селезнева,3570,f,,,Селезнев
Акимова,3569,f,,Аким,Акимов
Грищенко,3565,u,,,
Кононенко,3561,u,,,
Кудинов,3559,m,Кудинова,,
Толмачев,3554,m,Толмачева,,
Богатырев,3554,m,Богатырева,,
Ларина,3553,f,,,Ларин
Пименов,3545,m,Пименова,Пимен,
Аветисян,3536,u,,,
Ерохин,3536,m,Ерохина,,
Мустафин,3534,m,Мустафина,,
Сучков,3529,m,Сучкова,,
Конев,3528,m,Конева,,
Яценко,3528,u,,,
Колпаков,3519,m,Колпакова,,
Котельников,3508,m,Котельникова,,
Шмаков,3506,m,Шмакова,,
Шабалин,3506,m,Шабалина,,
